date,hour,entsoe,tge
2024-08-22,0,363.44,363.87
2024-08-22,1,350.06,350.48
2024-08-22,2,348.73,349.14
2024-08-22,3,350.62,351.04
2024-08-22,4,356.45,356.86
2024-08-22,5,380.25,380.71
2024-08-22,6,483.46,484.04
2024-08-22,7,577.84,578.52
2024-08-22,8,499.37,499.95
2024-08-22,9,348.65,349.06
2024-08-22,10,259.98,260.29
2024-08-22,11,271.94,272.28
2024-08-22,12,265.98,266.28
2024-08-22,13,291.02,291.35
2024-08-22,14,306.93,307.31
2024-08-22,15,350.24,350.67
2024-08-22,16,370.3,370.76
2024-08-22,17,458.38,458.93
2024-08-22,18,759.22,760.14
2024-08-22,19,979.91,981.09
2024-08-22,20,1164.51,1165.88
2024-08-22,21,754.88,755.78
2024-08-22,22,509.45,510.05
2024-08-22,23,389.98,390.43
2024-08-23,0,0.0,0.0
2024-08-23,1,0.0,0.0
2024-08-23,2,0.0,0.0
2024-08-23,3,0.0,0.0
2024-08-23,4,0.0,0.0
2024-08-23,5,0.0,0.0
2024-08-23,6,0.0,0.0
2024-08-23,7,0.0,0.0
2024-08-23,8,0.0,0.0
2024-08-23,9,0.0,0.0
2024-08-23,10,0.0,0.0
2024-08-23,11,0.0,0.0
2024-08-23,12,0.0,0.0
2024-08-23,13,0.0,0.0
2024-08-23,14,0.0,0.0
2024-08-23,15,0.0,0.0
2024-08-23,16,0.0,0.0
2024-08-23,17,0.0,0.0
2024-08-23,18,0.0,0.0
2024-08-23,19,0.0,0.0
2024-08-23,20,0.0,0.0
2024-08-23,21,0.0,0.0
2024-08-23,22,0.0,0.0
2024-08-23,23,0.0,0.0
